report_id,title,org_name,industry_name,page_num,pub_time,pub_time_str,view_url,paragraph_hit_count
5542418,华创医药专家谈 第128期 大型医疗设备集采政策推行对腔镜手术机器人行业影响的探讨,未知机构,,23,1784131200,2026/07/16/,https://www.fxbaogao.com/view?id=5542418,6
5405909,2026Q1持仓分析：公募基金医药持仓环比回升，医药与非药主动基金均加仓医疗研发外包,西南证券,<em>医药</em>生物,27,1778083200,2026/05/07/,https://www.fxbaogao.com/view?id=5405909,6
5332303,2025Q4持仓分析：医药持仓环比略降低，医药主动基金加仓医疗研发外包、减仓化学制剂,西南证券,<em>医药</em>生物,27,1775059200,2026/04/02/,https://www.fxbaogao.com/view?id=5332303,6
5409058,【电报解读】全国首款！上海研发的医疗大模型产品进入国家创新医疗器械特别审查通道，机构称AI医疗行业已迈入商业化落地的关键阶段，这家公司的智能体能够辅助医生进行精准诊断以及药物研发-20260508,未知机构,,1,1778169600,2026/05/08/,https://www.fxbaogao.com/view?id=5409058,6
5282427,华创医药通策医疗沉舟侧畔千帆过口腔医疗服务龙头再起航自2,未知机构,,1,1772467200,2026/03/03/,https://www.fxbaogao.com/view?id=5282427,4
5517077,"
中国医疗健康行业：强劲交易活动与持续研发进展推动医疗健康评级上调",美银证券,<em>医药</em>生物,11,1783353600,2026/07/07/,https://www.fxbaogao.com/view?id=5517077,6
5345366,医药生物行业快评报告：加快建设分级诊疗体系，推动医疗卫生服务资源高效配置,万联证券,<em>医药</em>生物,3,1775750400,2026/04/10/,https://www.fxbaogao.com/view?id=5345366,6
5435994,检测服务行业2025年&2026年一季报总结：利润率和现金流持续修复，关注布局全球化、高新技术的行业龙头,东吴证券,休闲服务,64,1779638400,2026/05/25/,https://www.fxbaogao.com/view?id=5435994,6
5540767,北交所行业主题报告：北交所急救医疗服务产业链全景：丹娜生物/爱伦医疗/海圣医疗,开源证券,,20,1784390400,2026/07/19/,https://www.fxbaogao.com/view?id=5540767,6
5526843,美国医疗服务：每周体检-事件日历与关键研究数据趋势,摩根大通,<em>医药</em>生物,24,1783699200,2026/07/11/,https://www.fxbaogao.com/view?id=5526843,6
5545283,医药行业跟踪报告：全球医疗健康投融资回暖，CXO景气度持续上行,爱建证券,<em>医药</em>生物,2,1784476800,2026/07/20/,https://www.fxbaogao.com/view?id=5545283,6
5348909,银华中证港股通医疗主题ETF：掘金港股稀缺医疗资源，卡位医药创新前沿赛道,西南证券,,18,1776009600,2026/04/13/,https://www.fxbaogao.com/view?id=5348909,6
5522310,国泰海通医药手术机器人深度推荐系列精锋医疗,未知机构,,18,1783353600,2026/07/07/,https://www.fxbaogao.com/view?id=5522310,6
5506745,复星医药(2196.HK)中国医疗企业日2026要点总结,高盛,,7,1782835200,2026/07/01/,https://www.fxbaogao.com/view?id=5506745,6
5537862,亚太医疗科技与服务领域：数字化转型与AI应用的近期影响,摩根大通,<em>医药</em>生物,16,1784044800,2026/07/15/,https://www.fxbaogao.com/view?id=5537862,6
5244640,1月27日股市早报生物医药云服务贵金属国产飞机AI医疗光伏光通信等,未知机构,,2,1769529600,2026/01/28/,https://www.fxbaogao.com/view?id=5244640,4
5346130,2026年医药研发年度报告,Norstella,<em>医药</em>生物,86,1775491200,2026/04/07/,https://www.fxbaogao.com/view?id=5346130,6
5505752,医疗技术与服务行业：中日市场环境触底，美国关税退税为利好，警惕AI相关投资激增的风险,摩根大通,<em>医药</em>生物,67,1782835200,2026/07/01/,https://www.fxbaogao.com/view?id=5505752,6
5505083,"
美国医疗保健服务NHE预测支出路径相似，但类别间支出调整不同。",杰富瑞,<em>医药</em>生物,22,1782748800,2026/06/30/,https://www.fxbaogao.com/view?id=5505083,6
5471081,"
美国医疗服务：关于Medicare Advantage的内部培训总结",伯恩斯坦,<em>医药</em>生物,34,1780934400,2026/06/09/,https://www.fxbaogao.com/view?id=5471081,6
