seed_id,seed_keyword,api_payload_keywords,api_payload_orgNames,api_payload_endTime,stage1_title_include_all,stage1_title_exclude,stage2_paragraph_keyword,stage3_pdf_rule,evidence_rule
S01,红利低波,红利低波,[],last1year,红利低波,日报;周报;月报;晨会;财报点评;业绩点评;快评;估值表;新发基金;基金净值,红利低波,download_only_after_paragraph_pass,A_or_B_card_only_after_pdf_original_check
S02,低波动 策略,低波动 策略,[],last1year,低波动;策略,日报;周报;月报;晨会;财报点评;业绩点评;快评;估值表;新发基金;基金净值,低波动 策略,download_only_after_paragraph_pass,A_or_B_card_only_after_pdf_original_check
S03,高股息 策略,高股息 策略,[],last1year,高股息;策略,日报;周报;月报;晨会;财报点评;业绩点评;快评;估值表;新发基金;基金净值,高股息 策略,download_only_after_paragraph_pass,A_or_B_card_only_after_pdf_original_check
S04,波动率目标,波动率目标,[],last1year,波动率目标,日报;周报;月报;晨会;财报点评;业绩点评;快评;估值表;新发基金;基金净值,波动率目标,download_only_after_paragraph_pass,A_or_B_card_only_after_pdf_original_check
S05,风险预算,风险预算,[],last1year,风险预算,日报;周报;月报;晨会;财报点评;业绩点评;快评;估值表;新发基金;基金净值,风险预算,download_only_after_paragraph_pass,A_or_B_card_only_after_pdf_original_check
S06,组合再平衡,组合再平衡,[],last1year,组合再平衡,日报;周报;月报;晨会;财报点评;业绩点评;快评;估值表;新发基金;基金净值,组合再平衡,download_only_after_paragraph_pass,A_or_B_card_only_after_pdf_original_check
S07,回撤控制,回撤控制,[],last1year,回撤控制,日报;周报;月报;晨会;财报点评;业绩点评;快评;估值表;新发基金;基金净值,回撤控制,download_only_after_paragraph_pass,A_or_B_card_only_after_pdf_original_check
S08,资产配置 防守,资产配置 防守,[],last1year,资产配置;防守,日报;周报;月报;晨会;财报点评;业绩点评;快评;估值表;新发基金;基金净值,资产配置 防守,download_only_after_paragraph_pass,A_or_B_card_only_after_pdf_original_check
S09,金融工程 红利,金融工程 红利,[],last1year,金融工程;红利,日报;周报;月报;晨会;财报点评;业绩点评;快评;估值表;新发基金;基金净值,金融工程 红利,download_only_after_paragraph_pass,A_or_B_card_only_after_pdf_original_check
S10,ETF 再平衡,ETF 再平衡,[],last1year,ETF;再平衡,日报;周报;月报;晨会;财报点评;业绩点评;快评;估值表;新发基金;基金净值,ETF 再平衡,download_only_after_paragraph_pass,A_or_B_card_only_after_pdf_original_check
