card_id,source_id,book_title,author_or_institution,chapter_or_section,note_type,paraphrased_note,short_excerpt_if_any,v5c_relevance,evidence_grade,pit_safety,can_be_quant_hypothesis,allowed_use,blocked_use,source_location,review_status
WEREAD_CARD_008,SRC_WEREAD_BOOK_003,聪明的投资者（第4版，注疏点评版）,user WeRead access,防御型投资者的预期投资成果,defense_policy,防御型投资者框架强调收益目标必须服从风险承受能力、分散和纪律。对 V5c/V5f 来说，任何防御或权重 overlay 都应先被定义为治理动作，而不是为了追逐历史收益而扩大风险。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\聪明的投资者（第4版，注疏点评版）__防御型投资者的预期投资成果.json,reviewed_paraphrase_only
WEREAD_CARD_009,SRC_WEREAD_BOOK_003,聪明的投资者（第4版，注疏点评版）,user WeRead access,第8章 投资者与市场波动,market_fluctuation,市场波动本身不是交易理由；只有在估值、资金纪律和既定组合边界同时成立时，波动才可能提供机会。V5c 可借此约束“因回撤而临时改规则”的冲动。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\聪明的投资者（第4版，注疏点评版）__第8章_投资者与市场波动.json,reviewed_paraphrase_only
WEREAD_CARD_010,SRC_WEREAD_BOOK_003,聪明的投资者（第4版，注疏点评版）,user WeRead access,第20章 作为投资中心思想的“安全边际”,margin_of_safety,安全边际的核心是承认估值和模型都会出错，因此要为错误留出缓冲。V5c/V5f 的候选规则必须经过 PIT、成本和稳定性审计，不能只靠一段回测表现升级。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\聪明的投资者（第4版，注疏点评版）__第20章_作为投资中心思想的“安全边际”.json,reviewed_paraphrase_only
WEREAD_CARD_011,SRC_WEREAD_BOOK_004,漫步华尔街（原书第13版）,user WeRead access,第1章 坚实基础与空中楼阁,valuation_vs_speculation,坚实基础与空中楼阁的对照提醒我们，长期投资逻辑应由现金流、估值和风险解释支撑，不能把短期叙事、拥挤交易或价格想象当成 V5c 的独立证据。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\漫步华尔街（原书第13版）__第1章_坚实基础与空中楼阁.json,reviewed_paraphrase_only
WEREAD_CARD_012,SRC_WEREAD_BOOK_004,漫步华尔街（原书第13版）,user WeRead access,第2章 大众疯狂,crowding_caution,历史上的市场狂热说明，价格上涨和参与者热情可能相互强化，并暂时脱离基本面。V5c 的估值过热、拥挤和止盈治理只能作为风险约束，不能变成追热点机制。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\漫步华尔街（原书第13版）__第2章_大众疯狂.json,reviewed_paraphrase_only
WEREAD_CARD_013,SRC_WEREAD_BOOK_005,思考，快与慢（第二版）,user WeRead access,第11章 锚定,anchoring,锚定效应会让研究者过度依赖旧价格、旧结论或旧 baseline。V5 项目中，repaired baseline、样本边界和重新审计应优先于沿用早期印象。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\思考，快与慢（第二版）__第11章_锚定.json,reviewed_paraphrase_only
WEREAD_CARD_014,SRC_WEREAD_BOOK_005,思考，快与慢（第二版）,user WeRead access,第13章 可得性、情感和风险,risk_perception,可得性和情感会放大近期亏损、新闻和极端案例的影响。V5c 防御判断需要回到可复核数据，而不是因为最近一次回撤或热点叙事临时改模型。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\思考，快与慢（第二版）__第13章_可得性、情感和风险.json,reviewed_paraphrase_only
WEREAD_CARD_015,SRC_WEREAD_BOOK_005,思考，快与慢（第二版）,user WeRead access,第34章 框架与现实,framing,同一风险在不同表述下会诱导不同决策。PM gate 应把 diagnostic、candidate、accepted 和 live approved 明确分层，避免语言框架把研究结果包装成实盘结论。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\思考，快与慢（第二版）__第34章_框架与现实.json,reviewed_paraphrase_only
WEREAD_CARD_016,SRC_WEREAD_BOOK_006,投资最重要的事,user WeRead access,05 理解风险,risk_understanding,风险不只是波动率，还包括永久损失、估计错误、周期暴露和尾部情形。V5c 的风险预算或止盈保护必须说明它实际控制了哪一类风险。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\投资最重要的事__05_理解风险.json,reviewed_paraphrase_only
WEREAD_CARD_017,SRC_WEREAD_BOOK_006,投资最重要的事,user WeRead access,07 控制风险,risk_control,风险控制应在损失显性化之前完成，而不是事后解释。overlay 若不能稳定降低目标风险，或降低风险的代价是过高成本和机会损失，就只能保留为诊断。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\投资最重要的事__07_控制风险.json,reviewed_paraphrase_only
WEREAD_CARD_018,SRC_WEREAD_BOOK_006,投资最重要的事,user WeRead access,14 认识预测的局限性,forecasting_limit,预测能力天然有限，尤其是在复杂市场中。V5c/V5f 可以把书籍观点用于提醒模型谦逊和 forward/paper tracking，但不能把历史判断直接当作 accepted 依据。,,C-level framework evidence for V5c/V5f governance; supports PM/Quant review language only.,C,not_pit_fact,maybe,Theory card; PM boundary; robustness checklist; research hypothesis framing.,No numeric threshold; no accepted status; no live approval; no direct PIT fact; no full-book ingestion.,..\..\weread_private_raw\core_selected_pages\投资最重要的事__14_认识预测的局限性.json,reviewed_paraphrase_only
