report_id,decision,source_grade,title,institution,publish_date,pdf_path,pdf_status,page_count,matched_card_ids,reason,evidence_card_allowed,blocked_actions
5198160,rejected,,指数基金投资+：A股ETF买入超五百亿，推荐红利低波ETF,华鑫证券,2025/12/22,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5198160.pdf,readable,34,,fund_flow_and_etf_recommendation_not_ab_evidence,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5027124,accepted_ab_evidence,B,国联安中证A500红利低波ETF（560573）：聚焦红利属性，把握低波风格,长江证券,2025/08/28,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5027124.pdf,readable,20,V5C_FX_AB_014,accepted_as_pdf_checked_method_or_framework_evidence,yes,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5195593,rejected,,金融工程：AI识图关注通信、红利低波、创业板,广发证券,2025/12/07,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5195593.pdf,readable,22,,ai_image_timing_model_not_v5c_overlay_framework,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5337289,rejected,,金融工程：AI 识图关注银行、金融、公用事业、红利低波 A 股量化择时研究报告,广发证券,2026/03/29,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5337289.pdf,readable,22,,ai_image_timing_model_not_v5c_overlay_framework,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5544913,rejected,,金融工程：AI识图关注半导体、能源、红利低波——A股量化择时研究报告,广发证券,2026/07/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5544913.pdf,readable,20,,ai_image_timing_model_not_v5c_overlay_framework,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5011349,rejected,,2025年7月新基金发行报告（新基金受理与机构新设篇）：创业板ETF将扩容，首批中证A500红利低波ETF获批,上海证券,2025/08/22,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5011349.pdf,readable,10,,new_fund_issuance_material_not_allowed_for_ab_cards,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5193364,accepted_ab_evidence,B,“质量红利”占比调升，从红利低波年度调仓初看 2026 年红利配置机会,长江证券,2025/12/18,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5193364.pdf,readable,11,V5C_FX_AB_013,accepted_as_pdf_checked_method_or_framework_evidence,yes,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5209020,rejected,,布局2026红利低波策略年度解读20251225,未知机构,2025/12/25,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5209020.pdf,readable,6,,fund_live_stream_or_marketing_transcript_not_ab_evidence,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5203254,rejected,,红利低波策略年度解读,-,2025/12/26,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5203254.pdf,readable,10,,fund_live_stream_or_marketing_transcript_not_ab_evidence,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5479745,rejected,,上周红利低波策略获资金流入,华泰证券,2026/06/15,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5479745.pdf,readable,12,,weekly_fund_flow_noise,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5154569,rejected,,量化观市：市场卖压有所缓解，红利低波表现较优,国联民生证券,2025/11/18,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5154569.pdf,readable,35,,market_observation_not_pdf_method_evidence,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5324456,rejected,,A股量化择时研究报告：AI识图关注红利低波、银行、地产,广发证券,2026/03/23,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5324456.pdf,readable,21,,ai_image_timing_model_not_v5c_overlay_framework,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5512765,accepted_ab_evidence,A,金融工程专题研究：中证智选高股息策略指数十问十答,国信证券,2026/07/06,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5512765.pdf,readable,19,V5C_FX_AB_008;V5C_FX_AB_009,accepted_as_pdf_checked_method_or_framework_evidence,yes,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5127120,rejected,,基金分析报告：低利率环境资产寻优：广发中证智选高股息策略ETF,民生证券,2025/10/31,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5127120.pdf,readable,18,,fund_product_analysis_marketing_or_product_specific,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5270252,rejected,,高速公路2026年投资策略：高股息再入配置区间，静待政策催化,国盛证券,2026/02/23,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5270252.pdf,readable,26,,single_industry_high_dividend_strategy_not_overlay_method,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5406049,rejected,,险企A股重仓流通股研究：权益配置比重持续提升，高股息与成长策略并重,东方证券,2026/05/07,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5406049.pdf,readable,24,,insurer_holdings_study_not_v5c_overlay_method,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5058677,accepted_ab_evidence,B,利率下行周期中的高股息增强策略,中泰证券,2025/09/10,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5058677.pdf,readable,27,V5C_FX_AB_012,accepted_as_pdf_checked_method_or_framework_evidence,yes,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5216641,rejected,,月度策略：继续关注科技成长及高股息“哑铃”策略,中原证券,2026/01/07,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5216641.pdf,readable,20,,monthly_strategy_noise,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5302061,rejected,,出版行业策略研究报告：高股息防御，AI+IP打开全新增长曲线,东北证券,2026/03/10,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5302061.pdf,readable,32,,single_industry_strategy_not_v5c_overlay,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5401933,rejected,,港股5月投资策略：高股息方向全面启动，关注可能正在改变的周期预期,国信证券,2026/05/05,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5401933.pdf,readable,27,,market_strategy_or_hk_high_dividend_not_v57f_overlay,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5428610,rejected,,公用环保高股息投资策略,国投证券(香港),2026/05/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5428610.pdf,readable,18,,single_industry_high_dividend_strategy_not_overlay_method,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5481160,rejected,,2026纺服&美护行业半年度策略：内需与上游双主线，高股息正当时,国金证券,2026/06/14,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5481160.pdf,readable,41,,single_industry_half_year_strategy_not_overlay_method,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5066564,accepted_ab_evidence,B,量化策略研究：高股息与高自由现金流策略的全面对比与优化,源达信息,2025/09/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5066564.pdf,readable,9,V5C_FX_AB_010;V5C_FX_AB_011,accepted_as_pdf_checked_method_or_framework_evidence,yes,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5097800,rejected,,本周聚焦：9月金融数据解读：M1提速释放积极信号，高股息策略防御属性凸显,国盛证券,2025/10/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5097800.pdf,readable,12,,weekly_macro_focus_not_v5c_overlay_method,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5281979,accepted_ab_evidence,A,基于风险预算的ETF配置实践：ETF配置系列（三）：构建不同风险偏好的ETF配置策略,国泰海通证券,2026/03/03,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5281979.pdf,readable,18,V5C_FX_AB_001;V5C_FX_AB_002;V5C_FX_AB_003,accepted_as_pdf_checked_method_or_framework_evidence,yes,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5203196,rejected,,钨产业链更新风险预算驱动的大类资产配置框架20251222,未知机构,2025/12/22,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5203196.pdf,readable,4,,industry_chain_short_update_not_v5c_overlay,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
4974230,accepted_ab_evidence,B,ETF风险预算风险平价模型,长江证券,2025/07/31,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_4974230.pdf,readable,20,V5C_FX_AB_015,accepted_as_pdf_checked_method_or_framework_evidence,yes,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5346188,accepted_ab_evidence,A,基于“组合保险+风险预算”两阶段法：稳健型多资产组合设计思路,东方证券,2026/04/11,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5346188.pdf,readable,19,V5C_FX_AB_004,accepted_as_pdf_checked_method_or_framework_evidence,yes,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5516384,rejected,,浦银国际月度资金流：AI交易逻辑变化，组合再平衡需求上升,浦银国际,2026/07/08,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5516384.pdf,readable,10,,monthly_fund_flow_noise,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5138693,accepted_ab_evidence,A,金融工程深度：2025Q3超额回撤控制：动态风控视角,浙商证券,2025/11/06,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5138693.pdf,readable,15,V5C_FX_AB_005;V5C_FX_AB_006,accepted_as_pdf_checked_method_or_framework_evidence,yes,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5272355,accepted_ab_evidence,A,主动量化研究系列：指增超额回撤控制：波动率分域视角,浙商证券,2026/02/24,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5272355.pdf,readable,14,V5C_FX_AB_007,accepted_as_pdf_checked_method_or_framework_evidence,yes,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5441838,rejected,,华富基金严律：强于Beta管理、精于回撤控制的FOF专家,华安证券,2026/05/28,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5441838.pdf,readable,16,,manager_profile_or_product_promotion_not_ab_evidence,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5324624,rejected,,南华期货2026年宏观及大类资产配置二季度展望：战略主线锚定下的防守反攻,南华期货,2026/03/30,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5324624.pdf,readable,26,,macro_quarterly_outlook_not_v5c_overlay_method,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5502069,rejected,,金融工程点评：中证红利指数资金流向择时模型效果点评,太平洋证券,2026/06/28,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5502069.pdf,readable,9,,short_timing_model_commentary_not_ab_evidence,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5195591,rejected,,金融工程：AI识图关注中药、银行和红利,广发证券,2025/11/30,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5195591.pdf,readable,22,,ai_image_timing_model_not_v5c_overlay_framework,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5270199,rejected,,桥水4Q25调仓：攻守再平衡：继续增配宽基ETF和科技，重新配置黄金避险,海通国际,2026/02/15,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5270199.pdf,readable,12,,current_holdings_rebalance_observation_not_method_evidence,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5477573,rejected,,亚洲投资组合策略：韩国与台湾市场的杠杆放大器——杠杆ETF流动、做市商伽马再平衡与零售保证金动态,高盛,2026/06/14,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5477573.pdf,readable,9,,leveraged_etf_market_microstructure_not_v57f_overlay,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
5545741,rejected,,股指：宽基ETF流入稳市，双重风险担忧推动再平衡,广发期货,2026/07/20,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5545741.pdf,readable,2,,short_market_commentary_not_ab_evidence,no,no_backtest;no_parameter_tuning;no_v57f_change;no_joinquant
