report_id,title,institution,publish_date,pdf_path,pdf_status,page_count,rejection_reason,reuse_policy
5198160,指数基金投资+：A股ETF买入超五百亿，推荐红利低波ETF,华鑫证券,2025/12/22,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5198160.pdf,readable,34,fund_flow_and_etf_recommendation_not_ab_evidence,source_lead_archive_only
5195593,金融工程：AI识图关注通信、红利低波、创业板,广发证券,2025/12/07,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5195593.pdf,readable,22,ai_image_timing_model_not_v5c_overlay_framework,source_lead_archive_only
5337289,金融工程：AI 识图关注银行、金融、公用事业、红利低波 A 股量化择时研究报告,广发证券,2026/03/29,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5337289.pdf,readable,22,ai_image_timing_model_not_v5c_overlay_framework,source_lead_archive_only
5544913,金融工程：AI识图关注半导体、能源、红利低波——A股量化择时研究报告,广发证券,2026/07/19,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5544913.pdf,readable,20,ai_image_timing_model_not_v5c_overlay_framework,source_lead_archive_only
5011349,2025年7月新基金发行报告（新基金受理与机构新设篇）：创业板ETF将扩容，首批中证A500红利低波ETF获批,上海证券,2025/08/22,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5011349.pdf,readable,10,new_fund_issuance_material_not_allowed_for_ab_cards,source_lead_archive_only
5209020,布局2026红利低波策略年度解读20251225,未知机构,2025/12/25,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5209020.pdf,readable,6,fund_live_stream_or_marketing_transcript_not_ab_evidence,source_lead_archive_only
5203254,红利低波策略年度解读,-,2025/12/26,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5203254.pdf,readable,10,fund_live_stream_or_marketing_transcript_not_ab_evidence,source_lead_archive_only
5479745,上周红利低波策略获资金流入,华泰证券,2026/06/15,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5479745.pdf,readable,12,weekly_fund_flow_noise,source_lead_archive_only
5154569,量化观市：市场卖压有所缓解，红利低波表现较优,国联民生证券,2025/11/18,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5154569.pdf,readable,35,market_observation_not_pdf_method_evidence,source_lead_archive_only
5324456,A股量化择时研究报告：AI识图关注红利低波、银行、地产,广发证券,2026/03/23,D:\hh\codex\v5\research_reports\fxbaogao_v5c_seed_report_retrieval\pdf_downloads\report_5324456.pdf,readable,21,ai_image_timing_model_not_v5c_overlay_framework,source_lead_archive_only
