sector_id,display_name,sector_type,theory_family,primary_theory,primary_factor_priority,value_role,fcf_role,momentum_role,mean_reversion_role,low_vol_role,dividend_role,prevalidation_decision,next_agent,allowed_next_action,blocked_action,data_gate,pit_universe_gate,business_purity_gate,dividend_gate,fcf_gate,low_vol_gate,external_state_burden,sample_size_risk,required_evidence_before_quant,required_quant_tests,notes
bank,Bank,financial_stable_cash_flow,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,sector_specific_value_and_balance_sheet_quality,sector_specific_value>dividend_sustainability>low_volatility,sector_specific_primary_or_support,not_comparable,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,passed,passed,passed,passed,not_primary_financial_sector,passed,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;sector_specific_balance_sheet_fields;solvency_or_asset_quality_fields,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Core financial dividend sleeve; bank quality stays sector-specific. Theory read: sector_specific_value_and_balance_sheet_quality; FCF role: not_comparable; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: formal_strategy_candidate;platform_replication_passed.
utilities_electricity,Utilities / Electricity,regulated_stable_cash_flow,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,support_after_cashflow_quality,conditional_enhancement,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,passed,passed,passed,passed,enhancement_only_after_capex_review,passed,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;capex_quality_gate,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Golden template; OCF and demand state dominate raw FCF. Theory read: ocf_low_vol_dividend_sustainability; FCF role: conditional_enhancement; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: engineering_smoke_test_passed;formal_strategy_candidate;paper_trading_started;utilities_golden_workflow_template.
highway_infrastructure,Highway Infrastructure,toll_stable_cash_flow,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,support_after_cashflow_quality,diagnostic_or_repair_required,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,passed,passed,passed,passed,diagnostic_not_primary,passed,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Strong cash-flow sleeve; concession life stays value-trap context. Theory read: ocf_low_vol_dividend_sustainability; FCF role: diagnostic_or_repair_required; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: 2021_no_signal_gap_repaired;engineering_smoke_test_completed;formal_strategy_candidate;joinquant_platform_smoke_passed;pit_leakage_audit_passed;platform_replication_passed;research_pit_validation_repaired.
port_rail_infrastructure,Port / Rail Infrastructure,transport_stable_cash_flow_with_trade_cycle,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability>sector_approved_free_cash_flow_yield,support_after_cashflow_quality,conditional_enhancement,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,passed_with_review_notes,passed,reviewed_source_repair_completed,passed,usable_with_capex_review,passed,medium_high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure;capex_quality_gate,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation;state_bucket_validation,Eligible for shadow basket but platform attribution remains pending. Theory read: ocf_low_vol_dividend_sustainability; FCF role: conditional_enhancement; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: 2021_pit_universe_repaired;2021_signal_gap_explained_as_jq_industry_pit_coverage_gap;business_purity_gate_added;eastmoney_segment_classifier_repaired;engineering_data_partially_passed;engineering_smoke_test_completed;first_layer_business_evidence_partially_passed;formal_strategy_candidate;hypothesis_rejected_as_scoring_factor;initial_model_built;local_daily_attribution_completed;local_daily_smoke_test_approved;local_daily_smoke_test_completed;operating_state_score_downgraded_to_diagnostic;overfit_audit_no_blockers_needs_review;platform_replication_blocked_until_selected_operating_evidence_spot_check_or_business_purity_gate_rerun;platform_replication_blocked_until_universe_policy_and_operating_evidence_review;platform_replication_not_yet_approved;platform_replication_ready_for_pm_approval;port_dominant_evidence_supported;preferred_port_rail_candidate;promoted_to_next_research_quant_loop;research_pit_validation_completed;research_pit_validation_passed;research_signal_only;reviewed_business_source_repair_completed;superseded_by_v55j_reviewed_business_sources;superseded_for_2021_universe_gap_by_v55g.
gas_water_operators,Gas / Water Operators,regulated_stable_cash_flow,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,support_after_cashflow_quality,diagnostic_or_repair_required,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,needs_manual_research,passed,passed_first_layer_reviewed,passed,needs_receivables_and_project_revenue_review,passed,medium,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Observation sleeve exists; deeper company-level tariff/pass-through data may be costly. Theory read: ocf_low_vol_dividend_sustainability; FCF role: diagnostic_or_repair_required; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: 2026_failure_attribution_completed;business_purity_repair_passed;coverage_policy_frozen_conservative_80;direct_financial_evidence_repair_passed;engineering_handoff_blocked;engineering_local_daily_simulation_passed;engineering_pre_simulation_completed;ex_ante_state_review_completed;formal_state_enriched_validation_completed;formal_state_guard_candidate;hypothesis_needs_research_revision;initial_model_built;initial_model_validation_passed;local_daily_simulation_review_completed;local_joinquant_style_simulation_ready;not_accepted_strategy;not_engineering_handoff;not_platform_replication;official_proxy_state_validation_completed;official_proxy_state_validation_failed_to_open_engineering;paper_trading_preparation_started;pit_leakage_audit_passed;platform_replication_deferred;quant_state_validation_opened;quant_validation_can_start;quant_validation_start_packet_ready;research_pit_validation_completed;research_signal_candidate;research_signal_candidate_blocked_by_true_operating_state;research_signal_candidate_repaired;return_to_research_agent_required;state_conditioned_validation_completed;state_conditioned_validation_failed_to_explain_2026_for_engineering;state_enriched_panel_ready;structured_ex_ante_state_panel_built.
telecom_operators,Telecom Operators,stable_cash_flow_small_sample,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,ocf_low_vol_dividend_sustainability,operating_cash_flow_yield>low_volatility>dividend_sustainability,support_after_cashflow_quality,diagnostic_or_repair_required,observation_only_due_sample_or_specialist_model,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,specialist_data_partial,likely_pass,simple_core3,likely_pass,needs_capex_cycle_review,passed,medium,high,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Good fit but too few core names for broad IC standards. Theory read: ocf_low_vol_dividend_sustainability; FCF role: diagnostic_or_repair_required; momentum role: observation_only_due_sample_or_specialist_model; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: basket_diagnostic_only;initial_model_built;not_engineering_handoff;research_pit_validation_completed;research_signal_only;sample_size_blocked;small_sample_observation_sleeve.
insurance,Insurance,financial_specialist,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,sector_specific_value_and_balance_sheet_quality,sector_specific_value>dividend_sustainability>low_volatility,sector_specific_primary_or_support,not_comparable,observation_only_due_sample_or_specialist_model,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,passed_prevalidation_shadow_basket_refresh,Engineering Agent,"refresh PIT panel, dividends, low-vol factors and paper-trading inputs without tuning",do not change frozen strategy logic,specialist_data_partial,passed_core5,passed_core5,passed,not_applicable,can_build_from_daily_prices,high,high,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;sector_specific_balance_sheet_fields;solvency_or_asset_quality_fields,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Needs EV/NBV/P/EV and specialist state model; not generic FCF. Theory read: sector_specific_value_and_balance_sheet_quality; FCF role: not_comparable; momentum role: observation_only_due_sample_or_specialist_model; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: blocked_by_insufficient_pit_history;composite_hypothesis_rejected;engineering_local_daily_simulation_completed_needs_review;engineering_smoke_test_completed_needs_review;failure_attribution_only_no_return_tuning;frozen_formal_strategy_candidate;insurance_diagnosis_executed;insurance_domain_workflow_fixed;insurance_special_fields_source_repair_passed;not_engineering_handoff;overfit_audit_no_blockers;paper_trading_started;pit_leakage_audit_passed;platform_replication_summary_matched_pending_daily_attribution;quant_diagnostic_completed;research_data_repair_partial;research_pit_validation_completed;research_pit_validation_passed;research_quant_loop_closed;research_signal_exists_but_not_deployable;returned_to_research_agent;solvency_guard_hypothesis_rejected;state_diagnostic_inconclusive;subgroup_validation_blocked_by_insufficient_cross_section;v53d_research_hypothesis_design_completed;v53f_ev_nbv_partial_repair_completed;v53g_effective_candidate_found;v53g_frozen_candidate_tracking_started.
securities_brokerage,Securities / Brokerage,financial_market_beta,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,sector_specific_value_and_balance_sheet_quality,sector_specific_value>dividend_sustainability>low_volatility,sector_specific_primary_or_support,not_comparable,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,low_priority_observation_before_initial_validation,Project Manager Agent,keep in watchlist until higher-priority sectors are exhausted,do not spend Quant/Engineering time yet,low_priority_watchlist,can_build,likely_pass,mixed,not_applicable,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;sector_specific_balance_sheet_fields;solvency_or_asset_quality_fields,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,More market-beta/capital-market cycle than stable dividend low-vol cash flow. Theory read: sector_specific_value_and_balance_sheet_quality; FCF role: not_comparable; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: none.
oil_gas_pipeline_integrated,Oil / Gas Pipeline and Integrated Energy,cycle_aware_cash_flow,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,state_conditioned_support,blocked_until_cycle_and_capex_state_pass,support_state_only_after_turnover_audit,support_only_with_value_trap_guard,primary_or_required_gate,required_sustainability_gate,research_loop_after_initial_validation,Research Agent,"repair the documented source, state or business-purity blocker before any new Quant attempt",do not rerun ordinary initial validation or hand off to Engineering,platform_replication_pending_exports,passed_proxy_business_exposure_review_pending,needs_annual_report_exposure_review,passed_for_local_simulation,needs_commodity_and_capex_policy_review,passed,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation;state_bucket_validation,Potential sleeve but cycle data and platform exports still gate inclusion. Theory read: cycle_aware_ocf_value_with_external_state; FCF role: blocked_until_cycle_and_capex_state_pass; momentum role: support_state_only_after_turnover_audit; mean-reversion role: support_only_with_value_trap_guard. Registry statuses: business_exposure_proxy_collected;cash_dividend_events_repaired;composite_hypothesis_not_promoted;core_source_gate_repaired;cycle_state_diagnostic_completed;cycle_state_proxy_collected;engineering_smoke_test_completed;engineering_smoke_test_completed_with_sector_benchmark;formal_validation_opened;fxbaogao_first_pass_completed;industry_knowledge_gate_started;initial_pit_panel_collected;low_vol_panel_collected;not_accepted_strategy;not_engineering_handoff;not_joinquant_code_ready_without_user_request;not_paper_trading_ready;not_platform_replication_passed;not_platform_replication_ready;ocf_signal_confirmed;ocf_signal_cycle_conditioned;official_nbs_seed_import_completed;official_source_register_created;official_state_import_template_created;overfit_audit_completed_needs_review;overfit_audit_completed_no_blockers;pending_attribution;pit_leakage_audit_passed;pit_universe_probe_completed;platform_export_intake_manifest_created;platform_replication_preparation_completed;platform_test_deferred_by_user_waiting_for_exports;real_daily_price_execution_completed;research_pit_validation_completed;research_pit_validation_started;research_signal_exists_needs_redesign;returned_to_research_agent;returned_to_research_agent_for_promotion_data_gate;sector_benchmark_repaired;source_gate_runner_completed;source_repair_blocked;source_repair_progress;source_repair_required;state_conditioned_ocf_signal_confirmed;state_conditioned_ocf_signal_strengthened;static_ocf_model_not_promoted;test1_formal_validation_completed;validation_ready_for_platform_replication_preparation.
coal,Coal,cyclical,dividend_low_volatility_ocf_fcf_value_momentum_mean_reversion,cycle_aware_ocf_value_with_external_state,operating_cash_flow_yield>external_cycle_state>low_volatility>dividend_sustainability,state_conditioned_support,blocked_until_cycle_and_capex_state_pass,support_state_only_after_turnover_audit,blocked_until_ex_ante_cycle_state_exists,primary_or_required_gate,required_sustainability_gate,archived_after_failed_initial_validation,Project Manager Agent,keep archived unless new source data or a new research hypothesis is approved,do not reroute failed sector into ordinary research queue,blocked,needs_segment_pit_repair,incomplete,likely_pass,capex_policy_required,can_build_from_daily_prices,high,medium,industry_knowledge_packet;PIT_universe;PIT_financial_visibility;real_daily_open_close_prices;cash_dividend_visibility;low_volatility_factors_60_120_252d;external_price_state;output_or_inventory_state;spread_or_margin_state;PIT_business_exposure,baseline;IC;RankIC;rolling_validation;ablation;robustness;failure_year_analysis;low_volatility_perturbation;buy_sell_timing_perturbation,Do not model until commodity output/inventory/price state gates pass. Theory read: cycle_aware_ocf_value_with_external_state; FCF role: blocked_until_cycle_and_capex_state_pass; momentum role: support_state_only_after_turnover_audit; mean-reversion role: blocked_until_ex_ante_cycle_state_exists. Registry statuses: archived_not_formal_candidate;blocked_by_manual_research_data;strategy_candidate_failed;workflow_replication_passed.
