canonical_model_id,display_name,family,role,status,parent_model,formal_backtest_start,formal_backtest_end,validation_window,validation_independent,daily_nav_or_returns_available,alpha_beta_ir_computable,primary_benchmark,economic_exposure_benchmark,evidence_paths,supersedes_or_alias_of
airport_transport_cashflow_operating_state_v58,airport_transport_cashflow_operating_state_v58,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\airport_transport_cashflow_operating_state_v58_strategy.json,
airport_transport_franchise_state_v58b,airport_transport_franchise_state_v58b,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\airport_transport_franchise_state_v58b_strategy.json,
bank_high_dividend_sustainability_v3,bank_high_dividend_sustainability_v3,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\bank_high_dividend_sustainability_v3_strategy.json,
bank_value_15y,bank_value_15y,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\bank_value_15y_strategy.json,
bank_value_quality_v2,bank_value_quality_v2,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\bank_value_quality_v2_strategy.json,
cement_cycle_aware_ocf_low_vol_v5a9,cement_cycle_aware_ocf_low_vol_v5a9,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\cement_cycle_aware_ocf_low_vol_v5a9_strategy.json,
coal_cashflow_cycle_value_v52b,coal_cashflow_cycle_value_v52b,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\coal_cashflow_cycle_value_v52b_strategy.json,
coal_cashflow_cycle_value_v52b_capex_policy,coal_cashflow_cycle_value_v52b_capex_policy,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\coal_cashflow_cycle_value_v52b_capex_policy_strategy.json,
coal_high_dividend_cycle_value_v52,coal_high_dividend_cycle_value_v52,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\coal_high_dividend_cycle_value_v52_strategy.json,
consumer_staples_ocf_low_vol_v5a5,consumer_staples_ocf_low_vol_v5a5,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\consumer_staples_ocf_low_vol_v5a5_strategy.json,
dividend_low_vol_fcf_basket_v56,dividend_low_vol_fcf_basket_v56,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\dividend_low_vol_fcf_basket_v56_strategy.json,
dividend_low_vol_ocf_enhanced_etf_v57,dividend_low_vol_ocf_enhanced_etf_v57,governance_or_research_artifact,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\dividend_low_vol_ocf_enhanced_etf_v57_strategy.json,
dividend_low_vol_sector_adaptive_etf_v57b,dividend_low_vol_sector_adaptive_etf_v57b,governance_or_research_artifact,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\dividend_low_vol_sector_adaptive_etf_v57b_strategy.json,
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e,governance_or_research_artifact,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57e_strategy.json,
dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f,v57f_baseline,example_strategy,duplicate_or_alias_of_canonical_model,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\dividend_low_vol_sector_neutral_equal_sleeve_etf_v57f_strategy.json,v57f_startup_preload_repaired_baseline
dividend_low_vol_sector_neutral_etf_v57c,dividend_low_vol_sector_neutral_etf_v57c,governance_or_research_artifact,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\dividend_low_vol_sector_neutral_etf_v57c_strategy.json,
dividend_low_vol_sector_neutral_etf_v57d,dividend_low_vol_sector_neutral_etf_v57d,governance_or_research_artifact,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\dividend_low_vol_sector_neutral_etf_v57d_strategy.json,
dividend_ocf_low_vol_basket_v56b,dividend_ocf_low_vol_basket_v56b,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\dividend_ocf_low_vol_basket_v56b_strategy.json,
dividend_ocf_vol_guard_basket_v56c,dividend_ocf_vol_guard_basket_v56c,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\dividend_ocf_vol_guard_basket_v56c_strategy.json,
food_beverage_low_vol_diagnostic_v5a5b,food_beverage_low_vol_diagnostic_v5a5b,governance_or_research_artifact,example_strategy,diagnostic_only_no_nav_claim,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\food_beverage_low_vol_diagnostic_v5a5b_strategy.json,
food_beverage_ocf_low_vol_v5a5,food_beverage_ocf_low_vol_v5a5,governance_or_research_artifact,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\food_beverage_ocf_low_vol_v5a5_strategy.json,
gas_water_cashflow_dividend_v55a,gas_water_cashflow_dividend_v55a,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\gas_water_cashflow_dividend_v55a_strategy.json,
gas_water_collection_debt_guard_v57c,gas_water_collection_debt_guard_v57c,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\gas_water_collection_debt_guard_v57c_strategy.json,
gas_water_ocf_dividend_guard_v57a,gas_water_ocf_dividend_guard_v57a,sector_strategy_or_research,example_strategy,performance_data_unavailable,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\gas_water_ocf_dividend_guard_v57a_strategy.json,
gas_water_true_operating_state_diagnostic_v59,gas_water_true_operating_state_diagnostic_v59,sector_strategy_or_research,example_strategy,diagnostic_only_no_nav_claim,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,not_available,False,False,False,not_available,not_available,examples\gas_water_true_operating_state_diagnostic_v59_strategy.json,
gas_water_v57b_text_debt_state_guard_v59b,gas_water_v57b_text_debt_state_guard_v59b,sector_strategy_or_research,example_strategy,report_complete_validation_not_independent,v57f_startup_preload_repaired_baseline,2021-05-01,2026-05-31,2021-05-01_to_2026-05-31,False,True,True,local_same_pool_or_embedded_benchmark,local_same_pool_or_embedded_benchmark,examples\gas_water_v57b_text_debt_state_guard_v59b_strategy.json,
